A=8049 B=9482 C=5390 X=670822809 Y=9818700220 Z=85300090799 M=9787
A=8793 B=3936 C=5302 X=407632636 Y=4811899906 Z=51499869745 M=2800
A=3515 B=5866 C=7172 X=645162068 Y=7455673400 Z=26831405976 M=5305
A=2894 B=6201 C=7991 X=937199399 Y=8833152543 Z=52553462271 M=9293
A=4816 B=7019 C=7070 X=647132952 Y=1359456745 Z=29938190400 M=8139
A=5664 B=9697 C=9513 X=313618544 Y=4337150912 Z=72613334304 M=5324
A=4444 B=6885 C=7502 X=107368436 Y=3194535410 Z=95725986562 M=5585
A=9412 B=4397 C=7481 X=601825224 Y=8766650003 Z=30832163612 M=7043
A=3802 B=6587 C=9585 X=722214496 Y=2332001486 Z=63123413306 M=1993
A=6651 B=8656 C=8545 X=984483620 Y=2894296367 Z=33082735848 M=7921
A=7097 B=3164 C=8605 X=832008057 Y=7913373416 Z=33972839512 M=7883
A=2906 B=4820 C=6386 X=395335346 Y=9577324575 Z=57058076709 M=3900
A=9644 B=6539 C=6322 X=899838172 Y=6513982409 Z=87916001101 M=3531
A=8810 B=4907 C=6522 X=561463177 Y=1095004431 Z=79573790263 M=9898
A=2932 B=3921 C=7241 X=156624482 Y=7026837086 Z=28236690257 M=3800
A=2843 B=7642 C=7722 X=151829401 Y=9906182444 Z=59081469501 M=6042
A=2000 B=4000 C=8000 X=707829789 Y=1845269529 Z=56706555200 M=2000
A=2843 B=9700 C=8845 X=299621133 Y=1596889737 Z=64038193762 M=2342
A=9451 B=5255 C=5297 X=179043377 Y=5606273342 Z=74258934205 M=4984
A=6105 B=5241 C=6517 X=797415352 Y=6398336881 Z=47514940030 M=6600
A=2078 B=6427 C=5211 X=483150536 Y=6152234749 Z=79036649786 M=7230
A=5067 B=9699 C=6103 X=372299142 Y=5263912538 Z=89117121988 M=9408
A=7606 B=4967 C=8526 X=433457323 Y=7531485146 Z=50995711156 M=2699
A=8506 B=4364 C=5273 X=281175890 Y=9253120968 Z=74290748831 M=3698
A=7636 B=4327 C=5514 X=896429927 Y=9463520518 Z=46969011349 M=5129
A=4921 B=5146 C=5161 X=422281417 Y=7241209568 Z=10516843484 M=8786
A=7848 B=5194 C=5136 X=203588343 Y=4134905538 Z=64301500787 M=7358
A=4615 B=7132 C=5887 X=751735496 Y=2061039550 Z=97322952402 M=4607
A=5109 B=8137 C=9817 X=841926782 Y=9451142704 Z=49617351644 M=9658
A=7694 B=5700 C=5563 X=562002149 Y=7867451712 Z=83895968039 M=6295
A=3153 B=8241 C=9612 X=142938582 Y=2121858224 Z=74953591195 M=9162
A=9038 B=5888 C=5020 X=109443812 Y=8490184954 Z=81441695174 M=5992
A=9551 B=9056 C=9163 X=613847028 Y=2096586700 Z=60645928173 M=4121
A=7528 B=9109 C=7150 X=158592278 Y=3970534325 Z=18801738736 M=9397
A=3491 B=3787 C=5161 X=704335308 Y=2778906197 Z=23156057233 M=9775
A=4031 B=5184 C=8112 X=417084524 Y=7171914833 Z=83046441328 M=7530
A=3467 B=7800 C=7077 X=673481904 Y=4582907749 Z=59772220689 M=9880
A=3899 B=8737 C=9886 X=404676765 Y=8414054832 Z=30253880312 M=5125
A=9623 B=9662 C=5075 X=704419392 Y=5812798096 Z=92123482705 M=8198
A=2609 B=5429 C=9705 X=535026309 Y=4338942200 Z=86609011258 M=5227
A=9343 B=9349 C=7658 X=890376606 Y=6829053444 Z=98366364471 M=7860
A=4007 B=8181 C=5985 X=198933759 Y=5505420681 Z=90930292740 M=6355
A=5519 B=3477 C=9480 X=330139606 Y=9530393878 Z=95762320952 M=2714
A=9152 B=3294 C=7166 X=794659955 Y=5176081567 Z=79361865347 M=6629
A=4199 B=6978 C=9071 X=831897943 Y=1993004631 Z=13210398656 M=2214
A=8066 B=8795 C=6040 X=206247273 Y=4197301135 Z=24614435315 M=4843
A=7728 B=7493 C=5158 X=813529269 Y=9448280039 Z=87739082481 M=8549
A=9988 B=3368 C=8530 X=377844121 Y=2213994797 Z=60988519358 M=2953
A=3371 B=3943 C=8342 X=918141446 Y=8784953967 Z=16751859110 M=6237
A=9347 B=8502 C=6483 X=694199953 Y=7524138213 Z=88727060160 M=7700
A=7792 B=5402 C=5880 X=101627848 Y=1424085324 Z=54658629716 M=4670
A=9034 B=8927 C=7624 X=769840660 Y=1806512700 Z=45040931835 M=7812
A=9892 B=8358 C=5287 X=865284757 Y=8178986859 Z=56889515697 M=5897
A=6481 B=3370 C=8613 X=882094147 Y=3868164817 Z=36704435116 M=8899
A=5767 B=3854 C=6583 X=794112556 Y=4841656886 Z=49067065203 M=9673
A=9132 B=8094 C=9881 X=233393046 Y=9399526514 Z=82383708978 M=9595
A=3384 B=7920 C=6523 X=439706126 Y=7317510528 Z=55987774165 M=7985
A=9729 B=4013 C=5598 X=477593438 Y=2621553460 Z=45033701925 M=6273
A=5100 B=4333 C=6568 X=163760489 Y=4681943327 Z=92510432066 M=8689
A=3547 B=7315 C=9619 X=357438449 Y=2379610800 Z=62456024578 M=6401
A=4027 B=7894 C=6367 X=866629447 Y=6701488032 Z=85864633746 M=1248
A=5545 B=6937 C=7147 X=127898479 Y=2005092839 Z=31324528698 M=8300
A=9405 B=7809 C=9034 X=123683389 Y=8588924798 Z=56581680531 M=6321
A=4212 B=8156 C=7653 X=984443059 Y=8616379126 Z=71179606236 M=5757
A=3797 B=6325 C=6168 X=662563060 Y=1901678844 Z=42492424588 M=6118
A=8707 B=8102 C=5772 X=552283578 Y=6177155025 Z=93605664808 M=3884
A=6529 B=3046 C=8030 X=193277183 Y=7861748272 Z=53557415630 M=5174
A=3961 B=8649 C=6844 X=552303141 Y=6517360602 Z=75006413994 M=6732
A=7557 B=3615 C=9175 X=877944709 Y=7301113792 Z=45596531745 M=3787
A=7369 B=6542 C=7620 X=255329708 Y=5696290236 Z=16217714202 M=6761
A=3523 B=6817 C=8861 X=185123663 Y=1369308441 Z=10190141781 M=2073
A=2075 B=4102 C=9259 X=943513380 Y=9652667487 Z=17034381401 M=9612
A=4034 B=8840 C=6686 X=742979413 Y=2688204467 Z=86804577452 M=4421
A=9811 B=7544 C=8804 X=479010933 Y=7214108810 Z=66669310815 M=1856
A=4934 B=5434 C=6354 X=276480782 Y=5407812798 Z=45401792241 M=6270
A=4587 B=3648 C=5790 X=779294004 Y=2279459113 Z=29329424859 M=1917
A=3494 B=6288 C=9955 X=803855809 Y=8510283378 Z=69773157001 M=8787
A=4485 B=3496 C=6796 X=959989179 Y=5145547797 Z=44485345873 M=1008
A=6091 B=9212 C=8083 X=169079079 Y=7757644408 Z=56744171996 M=1939
A=3039 B=6754 C=7918 X=300782745 Y=1477017758 Z=49734496873 M=6597
A=8866 B=7971 C=7434 X=224344221 Y=6791338858 Z=87054637056 M=8979
A=2762 B=9838 C=5490 X=432386103 Y=2040266655 Z=46362448980 M=6143
A=3466 B=8091 C=5082 X=450209710 Y=1126180312 Z=87334602006 M=7439
A=9686 B=9398 C=8047 X=457471695 Y=9113239022 Z=21320629354 M=4432
A=7874 B=9969 C=5694 X=980534144 Y=9181120912 Z=86621274841 M=1380
A=9725 B=3638 C=8309 X=480285973 Y=5307191238 Z=61029309797 M=3233
A=7019 B=7516 C=9491 X=280494538 Y=2877445331 Z=10056870890 M=4358
A=9381 B=3230 C=8786 X=806052709 Y=1059926281 Z=52031506384 M=5996
A=6700 B=4975 C=7772 X=869721220 Y=7183046364 Z=45627808796 M=2822
A=2781 B=4692 C=8354 X=392185216 Y=1692029278 Z=51449093559 M=5557
A=2847 B=5249 C=8201 X=379655385 Y=2976948120 Z=87719744223 M=8920
A=5664 B=3892 C=6767 X=591867599 Y=5763672683 Z=59160715784 M=2064
A=7774 B=5243 C=7782 X=393747122 Y=6417072152 Z=80858041115 M=7640
A=6152 B=7554 C=7026 X=700959924 Y=9818812529 Z=23074507193 M=6243
A=7144 B=8328 C=7018 X=448494011 Y=7905652199 Z=79586874236 M=5571
A=2139 B=9953 C=5989 X=758891666 Y=6825302126 Z=87842528422 M=2574
A=7576 B=4973 C=7732 X=591831571 Y=8603006174 Z=59950206317 M=6896
A=6800 B=7364 C=8971 X=767344337 Y=2532037273 Z=15583017180 M=8900
A=8198 B=5615 C=6992 X=290286554 Y=9069077542 Z=84680143479 M=5428
A=5341 B=5697 C=5984 X=425260124 Y=5542957261 Z=85906053686 M=2276
A=7464 B=9099 C=9747 X=560520224 Y=1669253667 Z=63185512525 M=8678
A=2009 B=4606 C=6344 X=212517131 Y=6025687815 Z=60158764051 M=2433
A=5844 B=4964 C=8880 X=411546815 Y=5005235915 Z=66166098669 M=8691
A=3575 B=9210 C=8446 X=407275145 Y=9624701557 Z=81267553807 M=1120
A=8850 B=9747 C=9767 X=575857514 Y=4602413529 Z=13433679296 M=6663
A=9344 B=4058 C=9493 X=706151050 Y=5218464307 Z=23385835611 M=3342
A=8149 B=8694 C=6895 X=951143985 Y=5494060972 Z=46070159330 M=7253
A=5380 B=4116 C=5280 X=548048982 Y=2283248309 Z=10189505220 M=8026
A=3210 B=7114 C=5863 X=160964724 Y=1591109232 Z=17871335162 M=2352
A=5213 B=5688 C=7679 X=500325118 Y=3976367848 Z=63965332080 M=8041
A=2705 B=4450 C=6631 X=525399662 Y=3861870675 Z=26658198221 M=1464
A=7443 B=7733 C=5151 X=901233665 Y=7781748004 Z=49521684473 M=7251
A=5818 B=8637 C=9122 X=168328317 Y=6070984860 Z=70155112658 M=6993
A=6061 B=9649 C=7957 X=489855467 Y=4158056814 Z=28354656346 M=1700
A=4683 B=7864 C=7818 X=199840456 Y=7717335126 Z=15051591175 M=7472
A=4067 B=3603 C=8010 X=525704242 Y=5819329030 Z=29417951212 M=8696
A=4330 B=8517 C=9790 X=604555075 Y=9259103398 Z=25398103043 M=5255
A=7029 B=5477 C=5488 X=415058143 Y=1925829025 Z=44339741134 M=5149
A=5130 B=9122 C=7915 X=773146674 Y=3803782701 Z=11697700585 M=6198
A=4769 B=7245 C=6791 X=913190922 Y=4078898331 Z=15304702001 M=2998
A=5299 B=6242 C=6587 X=376239282 Y=4068851295 Z=29420161843 M=5875
A=2467 B=5255 C=9003 X=848583925 Y=6854222316 Z=39188999093 M=5673
A=8472 B=9456 C=5615 X=966635682 Y=9860747221 Z=91101893389 M=6473
A=6733 B=4875 C=6531 X=441880474 Y=6840083505 Z=17051818625 M=5054
A=6050 B=9299 C=6883 X=278173284 Y=3589601601 Z=43987937615 M=8926
A=8249 B=5525 C=7545 X=838033659 Y=8275987121 Z=96236306352 M=3512
A=3922 B=3221 C=9263 X=213781702 Y=8137844162 Z=84566840947 M=8387
A=7117 B=4541 C=9663 X=143060155 Y=8065580264 Z=66538892621 M=7003
A=6181 B=5773 C=7727 X=154583560 Y=3653260784 Z=87625135501 M=4423
A=7017 B=8992 C=6111 X=652572497 Y=2650914275 Z=93327169840 M=1491
A=8788 B=9889 C=8840 X=292262127 Y=7112308319 Z=18758974740 M=7264
A=2744 B=9766 C=8124 X=403127891 Y=9213679074 Z=83107625126 M=9863
A=4116 B=4806 C=8693 X=243656632 Y=9425768199 Z=30759815610 M=8886
A=5340 B=4991 C=9267 X=569802590 Y=6011302881 Z=73376260082 M=3070
A=5369 B=8363 C=8734 X=986035497 Y=7963916034 Z=73468902775 M=2858
A=8683 B=5373 C=5940 X=385541058 Y=4226287179 Z=61489314946 M=3460
A=6503 B=8949 C=8795 X=522010654 Y=2645060440 Z=94770429240 M=5907
A=7926 B=4335 C=5246 X=139579004 Y=9575241747 Z=64885412935 M=2260
A=6854 B=4485 C=8307 X=685185091 Y=4270322834 Z=34819168505 M=4469
A=6478 B=6349 C=5075 X=663303605 Y=7153244125 Z=40692210496 M=3811
A=9803 B=5794 C=5043 X=898144458 Y=6737815598 Z=47858754454 M=5899
A=9618 B=5367 C=9669 X=631498027 Y=7000975709 Z=26191968365 M=5806
A=5077 B=9994 C=9437 X=815611661 Y=5391961698 Z=48350812339 M=9800
A=6558 B=7096 C=8741 X=306043531 Y=9732706429 Z=28755718809 M=8023
A=8828 B=9152 C=9428 X=775357707 Y=1572371941 Z=28299347126 M=6332
A=8146 B=4744 C=5526 X=818833154 Y=1789065467 Z=59357489642 M=6917
A=9266 B=6285 C=5105 X=838108791 Y=4267436560 Z=57550286137 M=7269
A=7767 B=3704 C=9907 X=297714209 Y=3763516772 Z=25128124937 M=5373
A=9434 B=9378 C=6179 X=860335427 Y=8497645126 Z=54371803441 M=1643
A=7161 B=5654 C=8088 X=354854141 Y=7356551381 Z=40593056557 M=8471
A=3600 B=5341 C=6749 X=134777100 Y=8546490293 Z=15192249290 M=3244
A=4522 B=5041 C=9781 X=761919106 Y=8550304293 Z=33088999873 M=2811
A=9166 B=3726 C=5563 X=578166233 Y=4134303801 Z=73038282794 M=9903
A=5064 B=6154 C=8650 X=147684571 Y=1672502287 Z=50926727057 M=1046
A=7386 B=3017 C=6688 X=888816088 Y=7755858072 Z=86970912676 M=4065
A=6897 B=8636 C=5709 X=919143642 Y=3221965915 Z=29815406781 M=8895
A=8026 B=9011 C=7770 X=544606539 Y=3074121617 Z=48793089457 M=6178
A=5114 B=6920 C=8619 X=555140820 Y=5972588957 Z=68098398861 M=4975
A=7586 B=8428 C=8847 X=122483388 Y=3375339136 Z=52420473383 M=4829
A=8763 B=9908 C=6297 X=662888673 Y=4612870005 Z=98907391668 M=8423
A=3877 B=6609 C=9018 X=183771861 Y=7220672846 Z=12850036372 M=9459
A=5814 B=6705 C=8867 X=495535237 Y=8314959411 Z=82312128581 M=6945
A=4135 B=8602 C=9920 X=157178631 Y=5875914100 Z=97743287906 M=6668
A=8883 B=5333 C=9117 X=866004685 Y=9276938851 Z=60162869318 M=5081
A=5051 B=3561 C=6439 X=761005459 Y=8256418734 Z=48885642492 M=5856
A=6674 B=3696 C=9648 X=671894642 Y=1024625324 Z=64855161160 M=9080
A=6635 B=9128 C=6527 X=822402149 Y=5797237225 Z=10896884526 M=3488
A=5965 B=4245 C=6875 X=260934719 Y=5110732997 Z=82668772844 M=3802
A=7014 B=3758 C=7579 X=691177257 Y=4667494932 Z=77323947283 M=2839
A=6978 B=6474 C=8049 X=385251277 Y=9185111369 Z=54146063955 M=8972
A=9879 B=4912 C=7110 X=634183791 Y=3885522422 Z=88356988947 M=7051
A=6587 B=3865 C=9660 X=809637454 Y=4663989856 Z=21635150232 M=7562
A=6442 B=5112 C=8438 X=431777656 Y=6422920341 Z=38064600907 M=8812
A=3823 B=5876 C=9692 X=965905396 Y=7177246616 Z=77303967054 M=6021
A=9574 B=8782 C=6657 X=980629266 Y=2270899479 Z=52639266812 M=8778
A=7843 B=9427 C=8611 X=251432250 Y=6184847277 Z=83837666313 M=3039
A=7466 B=5893 C=6996 X=923820051 Y=9854718184 Z=25352029352 M=4430
A=7731 B=9224 C=9717 X=936039341 Y=7238024407 Z=98232557245 M=1244
A=8550 B=7333 C=7383 X=469953794 Y=1399570204 Z=27077992784 M=2035
A=5018 B=9015 C=5001 X=625966402 Y=8396931083 Z=76541723558 M=9950
A=2018 B=8286 C=5405 X=570896982 Y=5350230230 Z=61434560269 M=9080
A=8384 B=8347 C=8260 X=201654672 Y=4112140048 Z=95818188691 M=2666
A=8334 B=6921 C=9864 X=747699253 Y=4008010514 Z=40146610207 M=9304
A=9258 B=4602 C=9721 X=344344067 Y=2713338360 Z=68943733331 M=4027
A=6178 B=6960 C=7510 X=739724487 Y=6925300470 Z=44853945225 M=4735
A=3667 B=8940 C=8831 X=949704130 Y=3553737567 Z=72492545643 M=9550
A=7158 B=6397 C=6389 X=226082829 Y=8660673537 Z=10908626872 M=1667
A=4259 B=9658 C=6888 X=688176592 Y=8861876440 Z=34958722962 M=2210
A=7388 B=9402 C=7871 X=210913529 Y=5659753564 Z=23285884579 M=4233
A=8058 B=8726 C=6683 X=493338918 Y=3157072560 Z=54702131888 M=5139
A=2106 B=5937 C=6179 X=634725367 Y=6595029949 Z=60299301916 M=5155
A=4346 B=4943 C=6103 X=895486681 Y=6671945554 Z=91870815305 M=3100
A=5725 B=5900 C=9746 X=163203152 Y=1032875287 Z=39539366878 M=1239
A=5515 B=9634 C=6519 X=149627073 Y=3947027625 Z=51973966370 M=6263
A=8473 B=7351 C=7056 X=406059455 Y=7470348604 Z=48448188379 M=5355
A=8717 B=9082 C=8172 X=809540238 Y=6121425342 Z=26619549176 M=4378
A=2608 B=9140 C=5200 X=552735740 Y=1751430693 Z=98987827566 M=8684
A=7588 B=7991 C=8020 X=963501713 Y=9035502105 Z=59161326334 M=3618
A=3840 B=5822 C=7045 X=270184643 Y=4881802590 Z=36882446469 M=8227
A=3023 B=5509 C=8175 X=390890973 Y=2766821900 Z=17818162528 M=2585
A=4060 B=9367 C=9087 X=974879133 Y=6086897526 Z=60907940113 M=5054
A=6257 B=6068 C=6412 X=885318116 Y=8384386741 Z=90212323826 M=8372
A=4268 B=7376 C=7224 X=128777761 Y=5100546673 Z=40824981738 M=2596
A=4132 B=5893 C=5762 X=848038891 Y=5505051748 Z=11106726398 M=5088
A=8694 B=8593 C=5345 X=550172956 Y=4983744899 Z=96156425563 M=3740
A=2238 B=4820 C=8403 X=344783532 Y=2104914011 Z=70013931582 M=4951
A=8537 B=7411 C=5805 X=855808550 Y=1195406918 Z=12636105227 M=4014
A=3622 B=6770 C=9674 X=202507048 Y=9927727651 Z=92176800245 M=2484
A=4593 B=3036 C=6814 X=115752571 Y=9932557695 Z=38182882141 M=2125
A=9480 B=8031 C=9502 X=961704760 Y=2207415525 Z=77507061256 M=6308
A=2407 B=7695 C=7841 X=815427293 Y=5963326167 Z=61096613351 M=7202
A=7209 B=5043 C=8171 X=904822406 Y=3211554440 Z=55455652852 M=2945
A=3122 B=6225 C=7843 X=278083694 Y=1916024720 Z=90366181495 M=7093
A=6066 B=7596 C=6230 X=464579384 Y=3098349561 Z=64882451086 M=5117
A=8398 B=6942 C=8268 X=946591614 Y=3552326289 Z=13566422823 M=4716
A=5493 B=8611 C=6785 X=368232138 Y=7053644844 Z=18812787817 M=6203
A=2234 B=7879 C=9443 X=376896092 Y=9838294644 Z=72276351746 M=2622
A=3032 B=7977 C=6483 X=316899149 Y=3888068340 Z=98683988648 M=1716
A=2328 B=8248 C=9459 X=755516573 Y=5101687112 Z=62849358620 M=8779
A=9686 B=4104 C=6484 X=684722821 Y=6728175658 Z=90019170012 M=5600
A=9604 B=3067 C=6092 X=951757220 Y=1091204338 Z=10857913422 M=9660
A=5996 B=3717 C=6972 X=981171292 Y=8830139815 Z=61974585814 M=4048
A=5253 B=6160 C=7019 X=541540874 Y=5631835235 Z=97392297521 M=5740
A=7485 B=4228 C=6461 X=758601511 Y=4589439421 Z=39885031452 M=6931
A=3614 B=4965 C=8882 X=280531391 Y=6400958740 Z=72376109424 M=2006
A=2577 B=5606 C=8188 X=167726440 Y=5714295626 Z=77732481108 M=1285
A=9946 B=9075 C=9431 X=957858516 Y=4695340879 Z=45262332087 M=7472
A=6560 B=5502 C=7090 X=170837651 Y=1332869955 Z=61091782470 M=7764
A=2928 B=9932 C=5501 X=305988689 Y=4897747002 Z=52701070548 M=1674
A=8076 B=8721 C=8270 X=514381803 Y=7189062376 Z=98109284393 M=8192
A=9098 B=8699 C=9596 X=538634165 Y=7853110794 Z=33606366691 M=3846
A=2056 B=5885 C=8984 X=110376408 Y=8431754089 Z=19967874369 M=5900
A=8937 B=6194 C=8375 X=654681007 Y=7219982165 Z=15588170100 M=5224
A=9351 B=4429 C=9889 X=906894559 Y=4722899590 Z=64784048813 M=8132
A=4082 B=3695 C=5922 X=821184241 Y=4931871887 Z=33554227960 M=7696
A=4847 B=8913 C=8651 X=974252601 Y=7163674311 Z=86497301991 M=2968
A=6800 B=8649 C=8355 X=829488373 Y=5383229518 Z=40972637577 M=2296
A=5625 B=7389 C=5440 X=686165898 Y=3534808694 Z=57962418956 M=1641
A=7661 B=8794 C=7051 X=187146087 Y=1783974373 Z=20135442195 M=1969
A=2001 B=6534 C=6653 X=631963023 Y=9050635142 Z=98205504162 M=7445
A=9166 B=5494 C=8158 X=629494227 Y=5931913639 Z=70007884032 M=8833
A=3224 B=5185 C=5026 X=121446381 Y=7625076512 Z=91307722600 M=9549
A=8797 B=9508 C=8195 X=824753048 Y=6028135075 Z=13959924480 M=8059
A=8069 B=3547 C=7729 X=282790161 Y=3313315264 Z=15721326531 M=9708
A=5609 B=4437 C=6736 X=864456157 Y=4267637289 Z=71396194558 M=3032
A=6976 B=5754 C=9923 X=937087023 Y=1127480068 Z=11311071393 M=5428
A=4217 B=4949 C=6476 X=221795814 Y=1645122985 Z=20695533759 M=6298
A=9473 B=5772 C=8124 X=381360499 Y=4392882686 Z=27705953062 M=6670
A=5566 B=4438 C=5472 X=304211097 Y=3566536622 Z=24781300810 M=9916
A=2662 B=8424 C=7839 X=879834888 Y=1670148318 Z=40992797497 M=4886
A=6499 B=3431 C=8345 X=998327392 Y=3301727981 Z=22794140509 M=5286
A=6835 B=5583 C=7731 X=485856625 Y=8544111511 Z=53195861982 M=2707
A=8638 B=6509 C=8873 X=423091186 Y=1314203874 Z=44604894439 M=6807
A=9668 B=4189 C=8872 X=468178197 Y=7761569238 Z=72687865332 M=7069
A=6141 B=5660 C=5366 X=699735286 Y=7261179737 Z=35039950383 M=1007
A=4151 B=7678 C=9754 X=717159823 Y=9770814954 Z=51038738841 M=2786
A=8962 B=9749 C=9565 X=221919696 Y=7277138078 Z=34447928245 M=5556
A=2164 B=8883 C=6894 X=852697497 Y=9000925249 Z=71436131555 M=6605
A=6080 B=5630 C=9531 X=476098782 Y=7230866102 Z=21923665570 M=6390
A=8194 B=7403 C=6204 X=476498728 Y=1365451606 Z=15289023066 M=9549
A=7437 B=7552 C=5162 X=624250292 Y=5368602420 Z=97280865130 M=4388
A=8135 B=7684 C=6120 X=784266830 Y=1909341325 Z=70013506103 M=4471
A=4796 B=4016 C=9956 X=868207886 Y=9074005492 Z=83908927911 M=4302
A=7437 B=4651 C=7159 X=495364193 Y=6188700815 Z=96976453876 M=1655
A=9707 B=3509 C=8879 X=994349587 Y=8078219121 Z=15390128645 M=5444
A=4515 B=7452 C=9888 X=969458654 Y=8796866156 Z=21837300564 M=6818
A=4060 B=5067 C=6392 X=934386487 Y=7400891268 Z=92417191340 M=7396
A=6322 B=6411 C=6759 X=664136682 Y=6147367687 Z=81179439360 M=2543
A=4753 B=4636 C=9460 X=912498688 Y=2949075438 Z=83632764389 M=8037
A=3724 B=3973 C=5561 X=357956472 Y=2438364911 Z=92317794383 M=6362
A=3423 B=9339 C=9467 X=928398580 Y=2006640094 Z=46586013601 M=4189
A=7333 B=9505 C=8902 X=178438545 Y=7317017284 Z=69443554418 M=6947
A=4381 B=8733 C=8846 X=770929879 Y=4455290637 Z=23949697183 M=1224
A=5668 B=5135 C=5201 X=166759963 Y=9956753294 Z=78307478412 M=5717
A=4366 B=9911 C=7907 X=405558877 Y=7460296909 Z=18207615188 M=5797
A=5543 B=4575 C=9006 X=352864647 Y=7127392538 Z=59130518547 M=2765
A=5982 B=6230 C=6569 X=390180463 Y=7826013184 Z=35183133311 M=3897
A=2026 B=9764 C=9710 X=376123463 Y=5842817923 Z=76671568027 M=8582
A=5812 B=5104 C=7293 X=120310184 Y=5843933068 Z=63728224847 M=2041
A=5008 B=6483 C=8534 X=304136651 Y=7626664362 Z=90472244073 M=4015
A=9307 B=7232 C=6344 X=741804425 Y=3730241706 Z=99346829461 M=7983
A=6605 B=3039 C=6536 X=913368382 Y=9002038679 Z=53560951405 M=6818
A=6535 B=8002 C=7345 X=551252382 Y=5492409820 Z=85316838304 M=5263
A=2938 B=7126 C=9082 X=291144659 Y=4484831170 Z=54255885123 M=4548
A=6400 B=9360 C=6799 X=286154928 Y=4486765501 Z=88956242699 M=2830
A=6102 B=5943 C=7138 X=911628055 Y=2444332878 Z=50615974738 M=8632
A=8106 B=7423 C=5946 X=780824281 Y=2642289392 Z=49429327552 M=8279
A=6136 B=9905 C=6622 X=652673357 Y=6336601091 Z=96318698041 M=4181
A=5650 B=5410 C=8883 X=434002535 Y=4921635208 Z=94343148311 M=1422
A=6003 B=5746 C=8748 X=527148192 Y=9158485196 Z=83648707388 M=4313
A=9630 B=3621 C=6492 X=217051508 Y=2521031754 Z=88553505774 M=5667
A=4080 B=9315 C=9215 X=445916203 Y=4708857534 Z=25009270980 M=7973
A=6103 B=6923 C=6161 X=643726084 Y=4686691383 Z=31092041628 M=8940
A=5930 B=5084 C=9611 X=688784753 Y=2738706195 Z=92509108537 M=5606
A=9684 B=3216 C=8291 X=166234320 Y=1941177703 Z=12319787954 M=6799
A=6900 B=4831 C=6516 X=381173405 Y=8142797782 Z=14044485778 M=3615
A=6535 B=5972 C=9040 X=399590615 Y=1481298369 Z=36996511663 M=9574
A=3277 B=8577 C=5064 X=375754049 Y=7305903146 Z=80723649146 M=8528
A=4398 B=9144 C=7764 X=335202609 Y=6934085332 Z=99846486708 M=4947
A=6611 B=4139 C=8580 X=325161847 Y=6748087425 Z=69507611281 M=5892
A=8423 B=5545 C=5355 X=167926963 Y=4554254805 Z=10311105404 M=2171
A=3028 B=4755 C=6713 X=319454659 Y=5341641338 Z=32752652392 M=6156
A=9951 B=4924 C=6648 X=597189326 Y=8784618660 Z=27618153556 M=5767
A=3221 B=7146 C=5036 X=673810824 Y=9533702598 Z=45725351766 M=2001
A=2298 B=7956 C=6852 X=908387965 Y=8845004965 Z=38820966525 M=9992
A=6514 B=4144 C=7271 X=448376238 Y=4149276214 Z=72880049374 M=9469
A=4484 B=8327 C=9133 X=991734158 Y=3728496917 Z=81888633851 M=1026
A=9240 B=3841 C=5757 X=445678203 Y=5788163003 Z=77182837356 M=5549
A=7409 B=4297 C=9136 X=798154611 Y=1360602808 Z=39806185583 M=7447
A=6805 B=4764 C=8498 X=666961124 Y=2900750697 Z=65686754167 M=4087
A=3775 B=5040 C=9743 X=928911995 Y=2491327477 Z=13165640190 M=7813
A=2506 B=4695 C=7477 X=515574971 Y=5769824705 Z=47416777957 M=9600
A=5353 B=4924 C=8597 X=475496978 Y=5267840485 Z=95781705553 M=9591
A=7303 B=8762 C=9351 X=678714738 Y=4961288293 Z=63231049989 M=6330
A=8828 B=5956 C=9270 X=835944733 Y=3246202033 Z=60395771418 M=6764
A=8556 B=7311 C=6416 X=812910704 Y=4399362418 Z=21780223357 M=4903
A=6703 B=3259 C=7747 X=720715709 Y=6055195239 Z=97863369645 M=7844
A=7086 B=8985 C=8855 X=938291582 Y=6825900627 Z=47013640118 M=3128
A=7999 B=7813 C=9660 X=685217277 Y=5645446338 Z=23939833236 M=2360
A=4243 B=6307 C=9422 X=672889193 Y=4674645172 Z=24450088621 M=6220
A=5038 B=9598 C=6480 X=953246468 Y=5464094440 Z=45774012723 M=7325
A=6378 B=6395 C=6495 X=863095309 Y=1928604356 Z=84233455619 M=8600
A=6652 B=4368 C=8339 X=226840811 Y=2868581679 Z=22362758885 M=9092
A=2118 B=3647 C=6501 X=539214625 Y=4621951114 Z=62710333169 M=6270
A=6182 B=8994 C=6129 X=586436989 Y=3798081644 Z=60974563283 M=4803
A=4458 B=3946 C=7501 X=159518283 Y=1797626133 Z=38326283552 M=3732
A=7475 B=8930 C=7718 X=768725579 Y=5682806914 Z=61785909917 M=4700
A=9556 B=7688 C=6764 X=419764257 Y=4606475440 Z=33959284217 M=3741
A=5706 B=3516 C=9766 X=874091183 Y=2971043102 Z=68009320577 M=2051
A=8583 B=8562 C=9324 X=539062133 Y=7461443518 Z=77826456101 M=8733
A=9117 B=5209 C=7144 X=124661040 Y=7438361502 Z=32302732837 M=6832
A=6856 B=7891 C=6205 X=644319583 Y=8144153354 Z=80689709331 M=9453
A=8175 B=7480 C=7987 X=942125236 Y=7697989960 Z=56352863158 M=5846
